Geneid,ddb_pd_005_DDB_PD_005_AMBR_7__S02_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_7__S07_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_8__S02_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_R7__S02_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_R7__S10_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_R8__S07_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_R8__S10_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R1__S02_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R1__S07_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R1__S10_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R2__S02_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R2__S07_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R2__S10_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R3__S02_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R3__S07_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R3__S10_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R4__S02_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R4__S07_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R4__S10_RNAseq,ddb_pd_038_DDB_PD_038_AMBR_R7_S03_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R7_S07_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R7_S11_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R8_S03_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R8_S07_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R8_S11_RNA_seq
b0011,1.9232579056851793,1.6447866658472803,1.7209591989703341,1.7763979303543898,2.215885736493096,1.0804287232716252,1.2454576580139354,1.7684911117027893,2.225081484464621,2.00172677777406,2.3569496740582023,2.016986997975112,1.774209954376204,1.0667335845813997,2.4075432811623836,2.553807307671258,2.2189774108456675,3.0272147935451095,1.8217560399989576,1.6158292089050672,2.473171677892223,2.1007855794924537,0.866591646153247,2.220880236598699,1.6807555014099096
b0012,0.0,0.532477350052001,0.7071853905170196,0.0,0.9204177908492861,0.0,0.3239599149707913,0.8607957871022294,0.4435799290441478,0.5131919536411733,0.3992167135969311,0.0,0.0,0.4023383205110135,0.4563830935322754,0.0,0.37669920477954794,1.3225679748678152,0.0,0.4638296958579272,0.6391112823360203,0.0,0.0,0.0,0.4437070470765156
b0013,1.4711812520808203,0.618889792729248,1.7125593105011825,1.6499408747285649,1.878917531559042,0.9873616361856322,1.1430381253811632,1.3962030735451556,0.5180010379481441,1.3436555684099356,0.4673316997237451,1.2284203131611473,0.4729379486592967,1.5508464133395705,1.4782306874198443,1.1550862969950966,1.48037227308295,1.701178016010394,0.581678940381085,0.5410565579622622,1.225081660327324,1.016765779278516,0.5693406697377426,0.5163903074829291,0.5181459093790381
b0014,9.57625362613662,9.96686071971156,9.528847483263775,9.639989715859596,9.343411416828904,10.167117307754063,9.52111767870092,9.62781903144958,10.088447029524628,9.443981145378485,9.585694923885425,9.982881510600832,9.41238495143601,9.61304287362473,9.921006311445089,9.354046925336585,9.643469172713996,9.88545608181616,9.373100495365168,9.645891409602765,10.644244468071593,9.474628434128237,9.37926251959752,10.477253038719958,9.514024031185008
b0015,8.06305741103812,8.43556008536829,7.979866582510782,8.079571553250725,7.956592064841328,8.600017086881847,8.08574610787489,8.091492089720228,8.437623267077763,8.071881260353454,7.993434801928531,8.342165167535223,7.968616997670723,8.03998117331842,8.44015943256198,7.934023711579224,8.069189928056225,8.500729529484895,8.108084549497148,8.279645756044328,8.688988990273579,8.060972037060386,8.065124084967856,8.72068803950179,7.993031393783107
b0016,5.634006952109753,5.597908068108054,5.561435753790259,5.773092484772928,5.718278014182708,5.601458936241843,5.3109454354825925,5.715593533176064,5.774985516854785,5.549273952146215,5.759568308971143,5.672803984541661,5.520088803364772,5.640293257548682,5.718865942399917,5.6080021754782585,5.589854355615144,5.8298213147029205,5.621959657967181,5.732204769390014,5.862804059482555,5.797452277489791,5.692258176136682,6.0165400777091484,5.556759276684766
b0018,2.6593455854270034,3.982590594408578,0.9826091729212215,2.3571821846750427,3.364075215297421,4.014304925164771,3.66140405769288,3.468878101089317,4.333491348552497,4.399377419006077,1.9822544770689814,4.441095598801252,4.551189682975442,2.798068891828251,4.746001183626183,5.446044799615043,2.362624461747418,4.199277869574256,5.109352952969673,3.003706933112399,4.81189010929749,4.586524714021426,2.2426088239633417,3.9174365674574823,4.992514213340435
b4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0019,5.945433530792826,6.075349388032145,5.533381482048414,6.539382042970698,5.534613266900614,6.215539295497203,5.889833727009026,6.044897987049084,6.43629468433716,5.605256166464883,6.268142163620163,6.550853964943038,5.723352110469632,5.992976204143981,6.403930835199877,5.890849851256804,6.225122216080738,6.869915442401827,5.841838688789162,5.610261459871723,7.348890013481067,5.850667179119794,5.153423704874358,6.6824708027328255,5.73299845848688
b0020,5.887349281151887,5.468042836747057,5.447744917473388,6.1645204226074215,5.3903004634223715,5.584865142690581,5.1306361884035665,5.815102869510802,5.6836643798904145,5.3982437653588216,5.809013195781112,5.639001132454558,5.365692333404352,5.763273564260206,5.714171880413733,5.511276310459074,5.741384405176194,5.958785449264224,5.363850360911944,5.345720183823866,6.498201409324175,5.508653781435399,5.6835619871912035,6.343842319626757,5.611895652041258
