Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
p1k_00298	7123134	5090557	513521	308160	0	0	0	0	141362	0	0	0	0	701480	262303	105751	71.46513037660108	7123134.0	6814974.0	95.67	308160.0	4.33	p1k_00298_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7123134.0	0.0	20-101	51.0	19.19468654545544	99.79091001236252	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	7140798	2210516	7140798	721220598	3735309	714355571	0.9518623038550544	0.0181	0.4181	0.5638
p1k_00299	10465973	7201520	11316	862333	0	0	0	0	392274	0	0	0	0	1464259	375340	158931	68.80889144277364	10465973.0	9603640.0	91.76	862333.0	8.24	p1k_00299_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10465973.0	0.0	20-100	52.0	18.98144362932477	99.2763283452002	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2.6	10497593	3161778	10497593	1049759300	6497083	1038801913	1.0437999453779547	0.053	0.447	0.5001
p1k_00300	7606167	5337316	716082	363003	0	0	0	0	127921	0	0	0	0	695083	257313	109449	70.17090211140513	7606167.0	7243164.0	95.23	363003.0	4.77	p1k_00300_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7606167.0	0.0	20-101	51.0	21.848718984353837	99.57516078729272	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass	2.6	7623518	2357626	7623518	769975318	3641920	763020411	0.9032636290297296	0.018	0.422	0.56
p1k_00301	8240890	6360651	4628	342445	0	0	0	0	172501	0	0	0	0	923761	309301	127603	77.18402988026779	8240890.0	7898445.0	95.84	342445.0	4.16	p1k_00301_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8240890.0	0.0	20-101	51.0	19.11962497724336	99.79312040325742	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	8260472	2569812	8260472	834307672	3954536	826762863	0.9043197435681736	0.023	0.4626	0.5144
p1k_00302	9504145	7465985	3232	378460	0	0	0	0	145329	0	0	0	0	1020932	354434	135773	78.55504098474928	9504145.0	9125685.0	96.02	378460.0	3.98	p1k_00302_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9504145.0	0.0	20-101	50.0	20.71565235966176	99.59816206507791	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass	2.6	9523093	2883431	9523093	961832393	4134407	953631375	0.8526452279716472	0.0185	0.4659	0.5155
p1k_00303	9745432	7546775	22833	424414	0	0	0	0	159508	0	0	0	0	1125309	342186	124407	77.43910172478758	9745432.0	9321018.0	95.64	424414.0	4.36	p1k_00303_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9745432.0	0.0	20-101	50.0	20.99232802298076	99.5928549909332	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass	2.6	9765788	2904163	9765788	986344588	257011	981780311	0.4627466967963938	0.0202	0.4839	0.4959
p1k_00304	9627733	7448616	79471	371785	0	0	0	0	135680	0	0	0	0	1137705	334023	120453	77.3662501857914	9627733.0	9255948.0	96.14	371785.0	3.86	p1k_00304_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9627733.0	0.0	20-101	51.0	17.717682666659787	99.78993767276263	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	9643442	2848280	9643442	973987642	248925	969628526	0.4475535224501339	0.0194	0.4832	0.4974
p1k_00305	10943070	8346032	1194	513824	0	0	0	0	223351	0	0	0	0	1301110	411806	145753	76.26773839516699	10943070.0	10429246.0	95.3	513824.0	4.7	p1k_00305_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10943070.0	0.0	20-101	50.0	19.964631643388262	99.58450763816737	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass	2.6	10970781	3234873	10970781	1108048881	284274	1103087940	0.44771860565599	0.0206	0.487	0.4924
p1k_00306	11671960	8768146	1961	565586	0	0	0	0	205960	0	0	0	0	1528763	445264	156280	75.12145346625589	11671960.0	11106374.0	95.15	565586.0	4.85	p1k_00306_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11671960.0	0.0	20-101	51.0	15.48564916859936	99.7918517541184	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	11701163	3530496	11701163	1181817463	5809662	1171013089	0.9142168175932598	0.025	0.4701	0.505
p1k_00307	8803430	6405556	541	612666	0	0	0	0	141968	0	0	0	0	1217037	302601	123061	72.76204842885102	8803430.0	8190764.0	93.04	612666.0	6.96	p1k_00307_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8803430.0	0.0	21-101	51.0	20.004289113073035	99.78646186770384	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	8854703	2624151	8854703	894325003	269441	890272751	0.4531073140532559	0.034	0.4376	0.5285
