Sample,Total,Assigned,Unassigned_rRNA,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity,percent_assigned,reads_processed,reads_aligned,reads_aligned_percentage,not_aligned,not_aligned_percentage,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content,cutadapt_version,r_processed,r_with_adapters,r_written,bp_processed,quality_trimmed,bp_written,percent_trimmed,pe_sense,pe_antisense,failed,se_sense,se_antisense
p1k_00054,9372620,7069226,3617,132013,0,0,0,0,52630,0,0,0,0,1500244,371851,243039,75.4242250299276,9372620.0,9240607.0,98.59,132013.0,1.41,p1k_00054_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9372620.0,0.0,20-31,52.0,23.853253890539712,30.313147657752047,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,9437466,842536,9437466,292561446,4693520,285641585,2.3652675684409896,0.0534,0.4585,0.4881,,
p1k_00055,12087986,8834906,2178,681262,0,0,0,0,54557,0,0,0,0,1755183,478542,281358,73.08832091632138,12087986.0,11406724.0,94.36,681262.0,5.64,p1k_00055_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12087986.0,0.0,20-31,51.0,15.664472561045764,30.40400675513688,pass,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,2.6,12238795,1813248,12238795,379402645,12089856,365063438,3.779416719669943,0.0473,0.469,0.4838,,
p1k_00064,6997964,5676885,869,102522,0,0,0,0,48325,0,0,0,0,801894,222947,144522,81.12195204205109,6997964.0,6895442.0,98.53,102522.0,1.47,p1k_00064_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6997964.0,0.0,20-76,52.0,24.33736601362904,74.92899992054832,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,2.6,7045353,908463,7045353,530489673,1234600,525993011,0.8476436448933474,0.0174,0.486,0.4965,,
p1k_00065,7542100,6010788,947,77536,0,0,0,0,10287,0,0,0,0,1114887,226091,101564,79.69647710849763,7542100.0,7464564.0,98.97,77536.0,1.03,p1k_00065_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7542100.0,0.0,20-76,52.0,21.246209239192385,75.15016056535978,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,2.6,7552478,561230,7552478,570753701,188597,569526666,0.2149850273156616,0.0174,0.4943,0.4883,,
p1k_00068,3277403,1796528,1364,144945,0,0,0,0,691057,0,0,0,0,492799,132305,18405,54.81559637310395,3277403.0,3132458.0,95.58,144945.0,4.42,p1k_00068_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,3277403.0,0.0,20-36,50.0,28.43458982360555,35.28773391615251,pass,pass,fail,pass,fail,pass,pass,warn,fail,fail,pass,2.6,3949972,1813610,3949972,142198992,2367830,116710485,17.92453423298528,0.0602,0.4706,0.4692,,
p1k_00070,11306358,8247900,6165,216230,0,0,0,0,773038,0,0,0,0,1447808,430400,184817,72.9492202528878,11306358.0,11090128.0,98.09,216230.0,1.91,p1k_00070_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,11306358.0,0.0,20-36,51.0,23.73236757384421,35.33835378288924,pass,fail,fail,pass,fail,pass,fail,warn,fail,warn,pass,2.6,11994493,4018097,11994493,431801748,14539554,402465518,6.793911820847932,0.0374,0.4502,0.5124,,
p1k_00071,5960139,4344652,4279,115781,0,0,0,0,292036,0,0,0,0,867900,250145,85346,72.89514556623595,5960139.0,5844358.0,98.06,115781.0,1.94,p1k_00071_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5960139.0,0.0,20-36,51.0,26.545552341758714,35.50555146448766,pass,pass,fail,pass,fail,pass,pass,warn,fail,warn,pass,2.6,6352305,2198373,6352305,228682980,4802594,212601065,7.0324057347862095,0.0437,0.4602,0.4961,,
p1k_00072,2691304,2002696,1906,50267,0,0,0,0,111428,0,0,0,0,361716,135336,27955,74.41359281597323,2691304.0,2641037.0,98.13,50267.0,1.87,p1k_00072_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,2691304.0,0.0,20-31,51.0,31.634820628703547,29.92774469179253,pass,pass,warn,pass,fail,pass,pass,warn,fail,warn,pass,2.6,2798274,1138180,2798274,86746494,4333386,80859237,6.7867376864821765,0.0446,0.4505,0.5049,,
p1k_00073,13924328,8460830,11393,628954,0,0,0,0,840733,0,0,0,0,3442566,468523,71329,60.76293232966072,13924328.0,13295374.0,95.48,628954.0,4.52,p1k_00073_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,13924328.0,0.0,20-50,52.0,20.06281120160573,48.51155617707368,pass,pass,fail,pass,fail,pass,pass,warn,fail,warn,pass,2.6,15256362,5940768,15256362,762818100,7566997,687784113,9.836419324607007,0.0305,0.4943,0.4752,,
p1k_00074,12116508,7377715,22308,838740,0,0,0,0,654618,0,0,0,0,2809572,329923,83632,60.88977946451239,12116508.0,11277768.0,93.08,838740.0,6.92,p1k_00074_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12116508.0,0.0,20-50,52.0,9.580814939293605,48.5715859717998,pass,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,2.6,14950361,6553361,14950361,747518050,48036048,593113879,20.655577614480347,0.0275,0.5123,0.4602,,
p1k_00075,8053153,5083515,16235,232507,0,0,0,0,1179334,0,0,0,0,1158275,320410,62877,63.12453023058173,8053153.0,7820646.0,97.11,232507.0,2.89,p1k_00075_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8053153.0,0.0,20-36,50.0,19.57703488746533,35.35910878633499,pass,pass,fail,pass,fail,pass,pass,warn,fail,fail,pass,2.6,9820521,4171902,9820521,353538756,1050625,288272088,18.460965563843303,0.0438,0.4879,0.4683,,
p1k_00082,10060229,7204400,992,258795,0,0,0,0,28642,0,0,0,0,1870912,435488,261000,71.61268396574273,10060229.0,9801434.0,97.43,258795.0,2.57,p1k_00082_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10060229.0,0.0,20-31,51.0,14.52819839368304,30.44996421055624,pass,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,2.6,10136072,795090,10136072,314218232,4627869,307850154,2.026641789519075,0.0399,0.4741,0.4861,,
p1k_00083,10435939,7749016,700,293254,0,0,0,0,22023,0,0,0,0,1696957,424212,249777,74.25317453465375,10435939.0,10142685.0,97.19,293254.0,2.81,p1k_00083_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10435939.0,0.0,20-31,51.0,13.707651916187205,30.453908172518062,pass,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,2.6,10525313,1453734,10525313,326284703,8458709,316031430,3.142431412115572,0.0373,0.4692,0.4935,,
p1k_00084,9370024,7494628,780,134857,0,0,0,0,25730,0,0,0,0,1047535,368592,297902,79.98515265275734,9370024.0,9235167.0,98.56,134857.0,1.44,p1k_00084_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9370024.0,0.0,20-31,52.0,22.85450897321353,30.3094767953636,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,9429892,1207858,9429892,292326652,6173090,284691881,2.6117259400624206,0.0376,0.4351,0.5272,,
